test1;test2;test3;test4;total_score;total_score_without_hw;final_score;d_campus;d_mothereduc_uni;d_derivation;time_slot_tuesday;time_slot_wednesday;time_slot_thursday;time_slot_friday;treatment_gain;treatment_loss;treatment_hybrid;homework_total;semester_tests;final_test;d_female;d_okt2;d_okt3;d_okt4;d_okt5;d_okt6;d_okt7;Group;female_loss;female_hybrid;macro_interest;macro_grade_goal;risk_pref;comp_pref;time_pref
0.5;3;8,5;9,5;64,58;55,5;64,08;0;1;1;1;0;0;0;0;1;0;9,08;21;34;0;0;1;0;0;0;0;4;0;0;4;5;5;8;12.000 forint
10;16;15,5;11;94,5;83;84,5;0;1;1;1;0;0;0;0;1;0;11,5;42,5;30,5;0;0;1;0;0;0;0;4;0;0;3;5;6;6;20.000 forint
16;12;11,5;15;103,5;91,5;92;0;1;1;1;0;0;0;0;1;0;12;43;37;0;0;1;0;0;0;0;4;0;0;4;5;6;7;15.000 forint
9;11,5;11;14;87,75;76,5;78,75;0;1;1;1;0;0;0;0;1;0;11,25;36,5;31;0;0;1;0;0;0;0;4;0;0;3;5;2;8;11.000 forint
14;9,5;9,5;10;71,25;62;61,75;0;1;1;0;0;0;1;0;0;1;9,25;33,5;19;0;0;1;0;0;0;0;6;0;0;4;4;6;6;11.000 forint
11;13;15;12;88,25;77;77,25;0;0;1;0;0;0;1;0;0;1;11,25;40;26;0;0;1;0;0;0;0;6;0;0;NA;4;6;4;12.000 forint
12;13;10;10,5;77,25;65,5;67,25;0;0;0;0;0;0;1;0;0;1;11,75;35,5;20;0;0;1;0;0;0;0;6;0;0;4;5;7;7;11.000 forint
14;11;11;14,5;91;80;80;0;1;1;0;0;0;1;0;0;1;11;39,5;29,5;0;0;1;0;0;0;0;6;0;0;4;5;8;8;11.000 forint
6.5;3;0;0;60;49,5;60;0;1;1;0;0;0;1;0;0;1;10,5;9,5;40;0;0;1;0;0;0;0;6;0;0;4;5;7;9;12.000 forint
11;14;7;11;70,25;59;63,25;0;0;0;0;0;0;1;0;0;1;11,25;36;16;1;0;1;0;0;0;0;6;0;1;4;5;7;4;12.000 forint
13.5;13;0;0;32,5;26,5;32,5;0;0;1;0;0;0;1;0;0;1;6;26,5;0;0;0;1;0;0;0;0;6;0;0;4;4;7;8;15.000 forint
16;15;14;7;93,25;81,5;86,25;0;1;1;0;0;0;1;0;0;1;11,75;45;29,5;1;0;1;0;0;0;0;6;0;1;4;5;5;3;12.000 forint
14;12,5;14;0;77,75;66,5;77,75;0;1;1;0;0;0;1;0;0;1;11,25;40,5;26;1;0;1;0;0;0;0;6;0;1;2;5;10;10;11.000 forint
9;10;12;7;66,5;57;59,5;0;1;1;0;0;0;1;0;0;1;9,5;31;19;0;0;1;0;0;0;0;6;0;0;4;5;8;6;20.000 forint
15;12,5;16;15,5;100,75;91,5;88,25;0;1;0;0;0;0;1;0;0;1;9,25;46,5;32,5;1;0;1;0;0;0;0;6;0;1;4;5;3;7;12.000 forint
15.5;13,5;16;16;109,75;98;96,25;0;1;1;0;0;0;1;0;0;1;11,75;47,5;37;0;0;1;0;0;0;0;6;0;0;4;5;4;9;11.000 forint
7.5;7;9;2,5;60;49,5;57,5;0;1;0;0;0;0;1;0;0;1;10,5;23,5;23,5;0;0;1;0;0;0;0;6;0;0;4;5;8;5;11.000 forint
12;6;1;15;67,75;57;66,75;0;0;0;0;0;0;1;0;0;1;10,75;33;23;0;0;1;0;0;0;0;6;0;0;2;5;6;3;15.000 forint
10.5;11,5;7,5;7;73,5;61,5;66,5;0;1;0;0;0;0;1;1;0;0;12;29,5;25;1;0;1;0;0;0;0;7;0;0;2;4;10;0;11.000 forint
0;0;5;0;11,75;5;11,75;0;1;1;0;0;0;1;1;0;0;6,75;5;0;0;0;1;0;0;0;0;7;0;0;3;5;6;7;15.000 forint
6;15;11;11;71,5;62;65,5;0;0;1;0;0;0;1;1;0;0;9,5;37;19;1;0;1;0;0;0;0;7;0;0;3;5;6;7;12.000 forint
5;3;9;3;57,58;47,5;54,58;0;1;1;0;0;0;1;1;0;0;10,08;17;27,5;0;0;1;0;0;0;0;7;0;0;4;5;9;2;20.000 forint
16;16;14;15;106;95;92;0;1;1;0;0;0;1;1;0;0;11;47;34;0;0;1;0;0;0;0;7;0;0;5;5;8;7;12.000 forint
10;10,5;4;11,5;67;58;63;0;1;1;0;0;0;1;1;0;0;9;32;22;0;0;1;0;0;0;0;7;0;0;4;4;7;10;11.000 forint
14;12,5;16;0;49;42,5;49;0;1;0;0;0;0;1;1;0;0;6,5;42,5;0;0;0;1;0;0;0;0;7;0;0;3;4;5;6;11.000 forint
14;16;13;15;103,75;92;90,75;0;1;1;0;0;0;1;1;0;0;11,75;45;34;1;0;1;0;0;0;0;7;0;0;2;5;4;5;12.000 forint
9;4;9;7;59,83;50,5;55,83;0;1;1;0;0;0;1;1;0;0;9,33;25;21,5;0;0;1;0;0;0;0;7;0;0;4;5;7;9;12.000 forint
8;6;0;0;24,17;14;24,17;0;0;0;0;0;0;1;1;0;0;10,17;14;0;0;0;1;0;0;0;0;7;0;0;4;5;6;1;12.000 forint
12;13;13;10;84,25;74;74,25;0;1;1;0;0;0;1;1;0;0;10,25;38;26;0;0;1;0;0;0;0;7;0;0;3;5;9;8;11.000 forint
13;11,5;14;13;85;74,5;73,5;0;0;0;0;0;0;1;1;0;0;10,5;40;23;0;0;1;0;0;0;0;7;0;0;4;5;2;7;11.000 forint
