"","test1","test2","test3","test4","final_test","homework_total","total_score","final_score","semester_tests_total","gender","treatment_gain","treatment_loss","treatment_hybrid","semester_tests","d_female","d_mothereduc_uni","d_derivation","time_slot_thursday","time_slot_friday","Group","macro_interest","macro_grade_goal","risk_pref","comp_pref","time_pref","minutes_per_week","fairness_1_7","Comment","knew_other_groups"
"81",16,15,10.5,16,25.5,10.75,93.75,83.25,57.5,"Nő","1","0","0",47,"0","0","0",0,0,"G11",4,"5",4,6,"12.000 forint",180,"4",NA,1
"82",9.5,5.5,6,6,21.5,9.67,58.17,52.67,27,"Férfi","1","0","0",21.5,"0","1","1",0,0,"G11",1,"3",7,7,"11.000 forint",240,"3",NA,0
"83",14.5,8.5,8.5,15.5,26.5,9.75,83.25,74.75,47,"Nő","1","0","0",38.5,"0","1","1",0,0,"G11",3,"5",9,9,"20.000 forint",180,"4",NA,0
"84",7.5,12.5,9,14,26,11,80,72.5,43,"Nő","1","0","0",35.5,"0","1","1",0,0,"G11",4,"5",7,6,"12.000 forint",8,"4",NA,1
"85",12.5,7.5,15,10.5,31,11.42,87.92,80.42,45.5,"Nő","1","0","0",38,"0","0","1",0,0,"G11",5,"5",7,9,"15.000 forint",120,"7",NA,1
"86",13,8.5,9.5,13.5,24.5,10.58,79.58,71.08,44.5,"Férfi","1","0","0",36,"0","1","1",0,0,"G11",4,"5",3,10,"12.000 forint",60,"2",NA,0
"87",13.5,14.5,8.5,8,29.5,11.5,85.5,77.5,44.5,"Nő","0","0","1",36.5,"1","1","0",0,0,"G10",4,"5",8,8,"12.000 forint",40,"3",NA,1
"88",12,7,10,8,31,11.75,79.75,72.75,37,"Férfi","0","0","1",30,"1","1","1",0,0,"G10",4,"5",6,9,"15.000 forint",25,"3",NA,1
"89",13,11.5,11,12,28,11,86.5,75.5,47.5,"Nő","0","0","1",36.5,"1","1","1",0,0,"G10",5,"5",5,NA,"12.000 forint",90,"6",NA,1
"90",11.5,12.5,11,5.5,22,11,73.5,68,40.5,"Férfi","0","0","1",35,"1","1","1",0,0,"G10",5,"5",8,6,"11.000 forint",600,"7",NA,1
"91",13.5,15.5,15,15,34,11.5,104.5,91,59,"Nő","0","1","0",45.5,"0","1","1",0,0,"G09",4,"5",7,9,"12.000 forint",2,"5",NA,1
"92",14,4,12,12,23.5,11,76.5,72.5,42,"Nő","0","1","0",38,"0","1","1",0,0,"G09",3,"4",7,3,"20.000 forint",420,"3",NA,0
"93",14.5,6.5,11,9.5,32.5,9.42,83.42,76.92,41.5,"Férfi","0","1","0",35,"0","1","1",0,0,"G09",5,"5",7,10,"15.000 forint",150,"3",NA,1
"94",15,12.5,12,15,29.5,11.25,95.25,83.25,54.5,"Nő","0","1","0",42.5,"0","1","0",0,0,"G09",4,"5",7,7,"12.000 forint",90,"2",NA,1
"95",14.5,16,13,13.5,29,11.83,97.83,84.83,57,"Nő","0","1","0",44,"0","1","1",0,0,"G09",3,"4",7,6,"20.000 forint",120,"2",NA,0
"96",14.5,7.5,13,13,34,12,94,86.5,48,"Nő","0","1","0",40.5,"0","1","0",0,0,"G09",3,"5",5,8,"12.000 forint",200,"3",NA,0
"97",13,1,13,13,27.5,11.25,78.75,77.75,40,"Nő","0","1","0",39,"0","1","1",0,0,"G09",3,"5",6,7,"12.000 forint",120,"4",NA,1
"98",15,9.5,13.5,12,34,11,95,85.5,50,"Férfi","0","1","0",40.5,"0","1","1",0,0,"G09",4,"5",6,8,"12.000 forint",60,"4",NA,0
"99",13.5,6.5,14,13,29.5,11.33,87.83,81.33,47,"Nő","0","1","0",40.5,"0","1","1",0,0,"G09",5,"5",7,9,"20.000 forint",5,"5",NA,1
"100",16,11,12,10,29.5,11.58,90.08,80.08,49,"Férfi","0","1","0",39,"0","0","0",0,0,"G09",5,"5",5,3,"12.000 forint",60,"6","A 40 pontos doga már kicsit övön aluli volt",0
"101",9,4,10.5,9,31,9.75,73.25,69.25,32.5,"Nő","0","1","0",28.5,"0","1","1",0,0,"G09",3,"5",6,10,"20.000 forint",360,"3",NA,1
